,Gene,Distance from MED12L,MED12L Corr,Distance from MED12,MED12 Corr
0,HIVEP3,418.03960338704746,0.6082829165911152,424.5937587859718,-0.25025034055341977
1,ZNF223,521.0138961678471,0.4477824708995029,68.68849976524454,-0.19920224285930607
2,NFKB2,645.4006275175135,-0.19139007289685508,338.1220785456046,0.07290604140203791
3,ZNF625,530.2622841575667,-0.13937166816487975,78.3128341972119,0.036302408119155694
4,NKX6-2,543.2001932989347,-0.01694696949427441,147.8994252862397,-0.10050449800162178
5,PCGF2,541.2088783455052,-0.17621842248967978,126.84478704306296,0.06335842212011716
6,KDM5B,1238.6193483068155,-0.04636429167335531,1146.0399818505462,-0.06979740429039406
7,MTERF1,517.9201096694354,0.0586304557559219,42.26570713947656,0.2026053188266878
8,ASCL1,502.38206576270227,0.5981127632533081,86.18056625481178,-0.16659199489120607
9,STAT6,602.4669617497711,-0.2933765250153501,260.70272342267543,0.10036028191731393
10,ZNF681,518.3759157214,0.2454705745597224,61.050962318377906,-0.0463368499140078
11,L3MBTL1,498.8514508348152,0.3549517755989245,78.07112142143214,-0.09820670919024531
12,NFXL1,492.1399394481208,0.30615734872513034,117.781619958294,-0.2999917524755752
13,DACH2,482.1594549524047,0.6296268177553612,105.88234035947636,-0.21466375255589226
14,NFE2L1,797.6254196049671,-0.14165164738809702,592.9363372234832,0.040125246548724125
15,ZBTB16,1121.8967376724117,-0.0031790300651960285,1031.560390864248,0.08478093320657117
16,HOXD3,531.2082830679506,-0.09613649570417868,77.45469643604577,-0.07474859014754057
17,GATA5,532.8011918154837,-0.07757905548384222,82.8936668268451,0.04356657004194256
18,TEAD2,544.7435818805028,-0.15483971053011936,123.35404330624917,-0.08577834457299675
19,ZNF273,478.92250938956715,0.49624376809571963,97.79212647243132,-0.11807432432858572
20,MYBL2,626.4008221578257,-0.04739159311005937,334.97749178116436,0.03556444644778149
21,ZNF606,514.0164005165595,0.18887721268384594,59.18183843038336,-0.026543425633641603
22,ZNF263,522.6189625338903,-0.04968836065394596,87.26035755141048,-0.16873168796960103
23,TCF4,2122.357813847608,0.4628300236972239,2313.1824311973323,-0.07040534089390635
24,FIZ1,525.2880923835986,-0.1483723824545172,51.069854121585266,0.10707581721351814
25,TPRX1,530.3027908657467,-0.037249577567267815,79.91207668431599,-0.09782343403241726
26,NHLH2,531.0671520627121,0.0026987912201090463,99.1988407190326,-0.08568323465234151
27,OLIG3,530.352203728805,-0.04467375843954938,80.27633524271023,-0.038177550105931775
28,NFE2L2,2233.2957753060837,-0.205815296762708,2147.3993410635107,0.14438292966685906
29,PRDM4,519.9322936690892,-0.08228823450270846,69.11164880105234,-0.18936212147909195
30,KLF12,689.7296281877414,0.7310682032350958,981.398843488212,-0.1951065028785651
31,ZNF784,528.1760691284677,-0.2063670430280332,54.79680647629021,0.21899796447267358
32,RHOXF2,530.2459429359171,-0.05178175081634608,79.35937247735771,-0.08237954802346291
33,LHX3,530.2246222121336,-0.013987114044212805,80.57902953002102,-0.01443504761087093
34,ZNF646,524.7866042497657,-0.04717227992079444,63.026105702319896,-0.19723077725934185
35,ZNF283,513.4889677490647,0.16834495083377363,96.32844854974047,-0.15805001545779537
36,PRMT3,440.83579709456455,0.7172001681465996,124.76381687011664,-0.15270743418790453
37,NR2F1,781.8410516211078,0.03381540462547903,624.346634490809,0.002054132886974546
38,ZNF154,513.084544690249,0.5088073046764896,67.93658808035623,-0.06056141074195918
39,ZNF552,525.8650872609818,-0.09444422767613188,66.88796603276256,0.21245598861288134
40,ZNF417,522.2774262784102,0.23358632853068,61.759371758462706,0.07870387246946627
41,PRDM12,529.5951094940359,0.3897791956814527,79.79630317251545,-0.16396597751856762
42,SP8,529.25048889916,0.027216016181303225,79.49937106669461,-0.07941759059509249
43,RXRB,518.1643947628976,-0.08794916711625692,83.73882014931903,0.2873116210732126
44,SCMH1,329.39239517633064,0.7933852495891562,337.5643938569351,-0.23153270064635326
45,ZNF213,527.4114143626398,-0.048889955740816206,82.05626118706603,-0.2522735653210066
46,ZNF239,522.5557673588534,0.1023356051627705,96.65547061599771,-0.3181441450726342
