Gene Name,Complex,Subcomplex or Module,Own-complex paralog,Other-complex Paralogues,Notes,Source
BAF180,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BCL11A,BAF,esBAF,[BCL11B],,,Alfert et al. Epigenetics & Chromatin (2019)
BCL11B,BAF,esBAF,[BCL11A],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF60A,BAF,esBAF,[BAF60B],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF60B,BAF,esBAF,[BAF60A],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF250A,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BAF200,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BAF45A,BAF,esBAF,[BAF45D],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
BAF45D,BAF,esBAF,[BAF45A],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
BAF155,BAF,esBAF,,,dimerizes with self ,Alfert et al. Epigenetics & Chromatin (2019)
BRG1,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BRD9,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BAF57,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BAF47,BAF,esBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
SS18,BAF,esBAF,,[CREST],,Alfert et al. Epigenetics & Chromatin (2019)
BCL7A,BAF,esBAF,"[BCL7B, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
BCL7B,BAF,esBAF,"[BCL7A, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
BCL7C,BAF,esBAF,"[BCL7A, BCL7B]",,,Alfert et al. Epigenetics & Chromatin (2019)
BAF53A,BAF,esBAF,,[BAF53B],,Alfert et al. Epigenetics & Chromatin (2019)
BAF180,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
BCL11A,BAF,npBAF,[BCL11B],,,Alfert et al. Epigenetics & Chromatin (2019)
BCL11B,BAF,npBAF,[BCL11A],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF60A,BAF,npBAF,[BAF60C],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF60C,BAF,npBAF,[BAF60A],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF250A,BAF,npBAF,[BAF250B],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF250B,BAF,npBAF,[BAF250A],,,Alfert et al. Epigenetics & Chromatin (2019)
BAF200,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
